CMD_ID,CMD_PKT_NAME,CMD_PKT_RELID,qry_icd_cmd_definitions_agg_spec_SHORT_DESCRIPTION,qry_icd_cmd_definitions_agg_spec_DESCRIPTION,SEQUENCE_NUMBER,AGGREGATE_SPEC_RELID,MAX_LENGTH,DATA_ITEM_RELID,CONSTRAINT_RELID,ENDIAN_RELID,DATA_ITEM_NAME,UNITS,DATA_TYPE_RELID,ARRAY_RELID,ENUM_RELID,ANALOG_RELID,data_item_SHORT_DESCRIPTION,data_item_DESCRIPTION,DATA_TYPE_NAME,NUM_BITS,ENDIAN_NAME,LOW_VALUE,HIGH_VALUE,ARRAY_NAME,NUM_DIMENSIONS,DIM_1_SIZE,DIM_2_SIZE,ANALOG_NAME,NUM_COEF,COEF_0,COEF_1
16,NOOP,2,No Operation for Communication Test,This command does nothing except update the command execution statistics.,,,0,,,,,,,,,,,,,,,,,,,,,,,,
17,SET_AUTH,302,Set authentication count,This command is not Authenticated.  The command authentication count is forced to the new value for the target command interface.,10,11713,2,14631,,2,NEW_COUNT,,24,,,,Authenticate Count,The new command authenticate count value for the command interface.,UInt8,8,little_endian,,,,,,,,,,
17,SET_AUTH,302,Set authentication count,This command is not Authenticated.  The command authentication count is forced to the new value for the target command interface.,20,11715,2,15139,,2,CMD_IF,,24,,50,,Command Interface (node) Select,The target command interface node for the command.  This node must be registered to send command packets to the bus through the Bus Command (#3) service.,UInt8,8,little_endian,,,,,,,,,,
18,CRIT_RESET,304,Critical Hardware System Reset,This command is not Authenticated.  This command is identical to the SW_RESET command with the RESET_TYPE parameter set to ALL_HW_OFF.,,,0,,,,,,,,,,,,,,,,,,,,,,,,
19,SW_RESET,305,Perform a commanded reset of the processor,All options for this command will cause the FSW application to terminate.,10,11714,1,14632,,2,RESET_TYPE,,24,,3346,,Reset Type,,UInt8,8,little_endian,,,,,,,,,,
20,RESET_AUTH,1251,Reset authentication count to zero,This command is not Authenticated.  The command authentication count is forced to zero for the target command interface.,10,11716,1,15139,,2,CMD_IF,,24,,50,,Command Interface (node) Select,The target command interface node for the command.  This node must be registered to send command packets to the bus through the Bus Command (#3) service.,UInt8,8,little_endian,,,,,,,,,,
21,PERFMON_CTRL,1041,Performance Monitor Control,"Enable, disable, or reset the performance monitor statistics.  By default, the state is disabled.",10,16281,1,19725,,2,PERF_CONTROL,,24,,4121,,The Performance Monitor Control Request,The action the Performance Monitor is being requested to perform.,UInt8,8,little_endian,,,,,,,,,,
22,MEM_PEEK,1,Request a memory location to be downlinked in TLM,The Peek command is used to read memory contents.  Up to five locations can be selected.  The configured memory locations are shown in PEEK_CB telemetry packets while the memory values appear in the PEEK_DATA telemetry packets.,10,11722,9,4333,,2,MEMORY_TYPE,,24,,,,The memory region ID.,This is used to select one of the 256 memory area types.,UInt8,8,little_endian,,,,,,,,,,
22,MEM_PEEK,1,Request a memory location to be downlinked in TLM,The Peek command is used to read memory contents.  Up to five locations can be selected.  The configured memory locations are shown in PEEK_CB telemetry packets while the memory values appear in the PEEK_DATA telemetry packets.,20,11723,9,15486,,2,MEMORY_SUBTYPE,,24,,,,The memory region Sub-ID,This is used to select one of the sub-elements of a memory area.,UInt8,8,little_endian,,,,,,,,,,
22,MEM_PEEK,1,Request a memory location to be downlinked in TLM,The Peek command is used to read memory contents.  Up to five locations can be selected.  The configured memory locations are shown in PEEK_CB telemetry packets while the memory values appear in the PEEK_DATA telemetry packets.,30,11724,9,4323,,2,MEMORY_ADDR,bytes,26,,,,The address offset of the memory to use.,The offset is the number of bytes from the start of the memory region.,UInt32,32,little_endian,,,,,,,,,,
