TLM_PKT_NAME,PKT_ID,TLM_PKT_RELID,tlm_pkt_SHORT_DESCRIPTION,tlm_pkt_DESCRIPTION,MAX_LENGTH,SEQUENCE_NUMBER,AGGREGATE_SPEC_RELID,DATA_ITEM_NAME,DATA_ITEM_RELID,data_item_SHORT_DESCRIPTION,data_item_DESCRIPTION,DATA_TYPE_NAME,DATA_TYPE_RELID,NUM_BITS,ARRAY_NAME,ARRAY_RELID,NUM_DIMENSIONS,DIM_1_SIZE,DIM_2_SIZE,ENUM_NAME,ENUM_RELID,CONSTRAINT_RELID,ANALOG_NAME,ANALOG_RELID,ENDIAN_NAME,ENDIAN_RELID
UDPCB,17,1400,UDP Network Control Block,FSW state for managing the table of UDP/IP sockets.,6,10,1400,udbcb_NUM_SOCKET,1400,UDP Control Block Number of Sockets,The number of UDP sockets that have been opened by the FSW application.,UInt16,25,16,,,,,,,,,,,little_endian,2
UDPCB,17,1400,UDP Network Control Block,FSW state for managing the table of UDP/IP sockets.,6,20,1401,FaultCode,15289,Fault Code,,UInt16,25,16,,,,,,,,,,,little_endian,2
UDPCB,17,1400,UDP Network Control Block,FSW state for managing the table of UDP/IP sockets.,6,30,1402,FaultCount,15290,Fault Count,A count of the number of errors reported by this module or subsystem.,UInt16,25,16,,,,,,,,,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,0,11868,CST_SSB_07,15154,Status Summary Bit 07,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,1,11867,CST_SSB_06,15153,Status Summary Bit 06,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,2,11866,CST_SSB_05,15152,Status Summary Bit 05,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,3,11865,CST_SSB_04,15151,Status Summary Bit 04,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,4,11864,CST_SSB_03,15150,Status Summary Bit 03,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,5,11863,CST_SSB_02,15149,Status Summary Bit 02,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,6,11862,CST_SSB_01,15148,Status Summary Bit 01,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,7,11861,CST_SSB_00,15147,Status Summary Bit 00,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,8,11876,CST_SSB_15,15162,Status Summary Bit 15,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
SSB,19,1421,Status Summary Bit Array,"Each bit in this array represents one error type.  If the bit is set to ERR, that error has occurred.  The bits will remain set until explicitly cleared to OK by issuing the CLEAR_SSB command.",64,9,11875,CST_SSB_14,15161,Status Summary Bit 14,,1BitUInt8,1,1,,,,,,OK_ERR,3221,1503,,,little_endian,2
